Time,Observation,Variance
1000,2.8559588602558943,1.6051241313406095
1001,16.353880705319863,4.773602241602922
1002,17.41360285073516,10.760027812638894
1003,2.195781230639999,17.131897039099346
1004,-23.87860382075087,20.96368979456231
1005,-48.51118727386474,21.928005963192046
1006,-58.94163269030223,21.928038620837295
1007,-48.84823510189983,22.28455447679137
1008,-21.853952706941772,22.729581278099783
1009,10.345795510838313,22.83155259274135
1010,34.1790967895701,22.85296205250258
1011,41.23273761570828,23.034672577571765
1012,32.21644619963515,23.179163318244893
1013,15.75670955267424,23.187173956030755
1014,2.903983553061747,23.23466945028557
1015,0.657538125728725,23.341313176234287
1016,8.275929188220285,23.371211733464058
1017,18.406060395802935,23.385172185525896
1018,22.173515677538308,23.488900621289474
1019,15.041932891032863,23.562628623191703
1020,-0.159345649728026,23.562942471921726
1021,-14.894826820079958,23.674765537012366
1022,-20.27213410991246,23.824488604087193
1023,-12.82332269051942,23.82479618843047
1024,2.855958860255849,24.523793467640395
1025,16.353880705319845,27.69227157790269
1026,17.413602850735202,33.67869714893866
1027,2.195781230640095,40.05056637539912
1028,-23.87860382075076,43.8823591308621
1029,-48.511187273864664,44.84667529949184
1030,-58.94163269030222,44.84670795713709
1031,-48.848235101899895,45.203223813091164
1032,-21.853952706941875,45.64825061439957
1033,10.345795510838215,45.75022192904114
1034,34.179096789570046,45.77163138880237
1035,41.232737615708274,45.95334191387155
1036,32.216446199635186,46.09783265454467
1037,15.756709552674282,46.105843292330526
1038,2.903983553061768,46.153338786585344
1039,0.6575381257287144,46.25998251253406
1040,8.275929188220255,46.28988106976383
1041,18.406060395802914,46.30384152182567
1042,22.173515677538315,46.407569957589246
1043,15.041932891032895,46.481297959491464
1044,-0.15934564972799492,46.481611808221494
1045,-14.894826820079954,46.59343487331215
1046,-20.272134109912496,46.743157940386965
1047,-12.823322690519488,46.74346552473025
1048,2.8559588602557833,47.442462803940174
1049,16.35388070531982,50.610940914202466
1050,17.41360285073524,56.59736648523843
1051,2.1957812306401836,62.9692357116989
1052,-23.87860382075066,66.80102846716191
1053,-48.51118727386459,67.76534463579165
1054,-58.94163269030221,67.76537729343688
1055,-48.848235101899945,68.12189314939096
1056,-21.853952706941968,68.56691995069937
1057,10.345795510838128,68.66889126534095
1058,34.179096789569996,68.69030072510218
1059,41.23273761570828,68.87201125017135
1060,32.21644619963523,69.01650199084447
1061,15.756709552674335,69.02451262863035
1062,2.9039835530617966,69.07200812288515
1063,0.6575381257287108,69.1786518488339
1064,8.275929188220235,69.20855040606367
1065,18.4060603958029,69.2225108581255
1066,22.173515677538322,69.32623929388907
1067,15.041932891032923,69.39996729579128
1068,-0.15934564972796827,69.40028114452132
1069,-14.894826820079954,69.51210420961196
1070,-20.27213410991254,69.6618272766868
1071,-12.82332269051956,69.66213486103008
1072,2.855958860255712,70.36113214024
1073,16.353880705319792,73.52961025050229
1074,17.41360285073527,79.51603582153825
1075,2.195781230640269,85.88790504799874
1076,-23.878603820750552,89.71969780346176
1077,-48.511187273864515,90.6840139720915
1078,-58.94163269030219,90.68404662973676
1079,-48.8482351019,91.04056248569081
1080,-21.853952706942056,91.48558928699921
1081,10.345795510838043,91.58756060164077
1082,34.179096789569954,91.60897006140202
1083,41.232737615708295,91.79068058647121
1084,32.21644619963528,91.93517132714435
1085,15.756709552674392,91.94318196493019
1086,2.903983553061832,91.990677459185
1087,0.6575381257287144,92.09732118513374
1088,8.27592918822022,92.12721974236352
1089,18.406060395802893,92.14118019442537
1090,22.173515677538337,92.24490863018896
1091,15.041932891032955,92.31863663209117
1092,-0.15934564972793808,92.31895048082117
1093,-14.894826820079954,92.4307735459118
1094,-20.27213410991258,92.58049661298665
1095,-12.823322690519632,92.58080419732994
1096,2.8559588602556447,93.27980147653986
1097,16.353880705319764,96.44827958680214
1098,17.413602850735305,102.43470515783808
1099,2.1957812306403577,108.80657438429857
