time,forecast,variance
1000.0,-24.63748444761317,2.701467216570837
1001.0,-10.931653846316406,4.803121117356193
1002.0,4.298025879070908,7.927508428188658
1003.0,13.824802321961027,10.810456139011915
1004.0,15.397092512792524,12.549814656961551
1005.0,11.917944792076655,13.40796136005268
1006.0,8.471647009927162,14.101094137439162
1007.0,8.29721841739295,14.867515421977538
1008.0,10.364131520950853,15.576484919576984
1009.0,10.125182834143576,16.255171033081975
1010.0,2.9760282532659534,17.03683220917448
1011.0,-11.811723210438197,17.856715393774156
1012.0,-29.316571185535572,18.56637184473787
1013.0,-40.75452728740055,19.18053931595495
1014.0,-38.08072223540908,19.785185453046445
1015.0,-18.865627910774954,20.383199444923033
1016.0,11.440977594945439,20.980996617755636
1017.0,41.39412158375379,21.627585427455216
1018.0,58.8158302850764,22.2764615464356
1019.0,56.722384378178845,22.822189217013634
1020.0,36.75198649724216,23.2869834501487
1021.0,8.249064416525187,23.71831977699473
1022.0,-16.480676699149107,24.003847166023615
1023.0,-28.166921503537452,24.20874587299724
1024.0,-24.637484447613204,24.99841096563827
1025.0,-10.93165384631646,27.100064866423622
1026.0,4.298025879070858,30.224452177256087
1027.0,13.824802321960988,33.10739988807935
1028.0,15.397092512792506,34.84675840602899
1029.0,11.917944792076662,35.704905109120126
1030.0,8.471647009927183,36.39803788650661
1031.0,8.297218417392985,37.16445917104499
1032.0,10.364131520950895,37.87342866864444
1033.0,10.125182834143622,38.552114782149424
1034.0,2.976028253265996,39.33377595824194
1035.0,-11.81172321043818,40.15365914284161
1036.0,-29.316571185535587,40.86331559380533
1037.0,-40.754527287400585,41.47748306502241
1038.0,-38.08072223540914,42.082129202113904
1039.0,-18.865627910775025,42.680143193990496
1040.0,11.440977594945378,43.27794036682312
1041.0,41.394121583753744,43.9245291765227
1042.0,58.815830285076395,44.57340529550308
1043.0,56.72238437817887,45.11913296608112
1044.0,36.751986497242214,45.583927199216184
1045.0,8.24906441652525,46.01526352606222
1046.0,-16.48067669914905,46.3007909150911
1047.0,-28.16692150353741,46.505689622064715
1048.0,-24.63748444761319,47.29535471470576
1049.0,-10.93165384631648,49.39700861549111
1050.0,4.298025879070808,52.521395926323564
1051.0,13.824802321960933,55.40434363714683
1052.0,15.397092512792462,57.1437021550965
1053.0,11.917944792076634,58.001848858187635
1054.0,8.471647009927183,58.694981635574116
1055.0,8.297218417393017,59.46140292011249
1056.0,10.364131520950952,60.17037241771194
1057.0,10.125182834143686,60.84905853121693
1058.0,2.976028253266053,61.63071970730943
1059.0,-11.811723210438144,62.45060289190911
1060.0,-29.31657118553558,63.16025934287284
1061.0,-40.75452728740062,63.774426814089914
1062.0,-38.0807222354092,64.3790729511814
1063.0,-18.865627910775096,64.977086943058
1064.0,11.440977594945318,65.5748841158906
1065.0,41.39412158375371,66.2214729255902
1066.0,58.815830285076395,66.87034904457059
1067.0,56.72238437817891,67.41607671514862
1068.0,36.75198649724227,67.88087094828367
1069.0,8.249064416525318,68.31220727512971
1070.0,-16.480676699148994,68.59773466415861
1071.0,-28.166921503537374,68.80263337113226
1072.0,-24.637484447613197,69.59229846377326
1073.0,-10.931653846316516,71.6939523645586
1074.0,4.298025879070748,74.81833967539106
1075.0,13.824802321960862,77.70128738621435
1076.0,15.3970925127924,79.44064590416399
1077.0,11.917944792076598,80.29879260725514
1078.0,8.471647009927183,80.99192538464163
1079.0,8.297218417393053,81.75834666918001
1080.0,10.364131520951016,82.46731616677945
1081.0,10.125182834143759,83.14600228028443
1082.0,2.9760282532661133,83.92766345637696
1083.0,-11.811723210438108,84.74754664097665
1084.0,-29.316571185535587,85.45720309194037
1085.0,-40.75452728740066,86.07137056315742
1086.0,-38.08072223540927,86.67601670024891
1087.0,-18.865627910775167,87.2740306921255
1088.0,11.440977594945261,87.87182786495814
1089.0,41.39412158375368,88.51841667465771
1090.0,58.8158302850764,89.16729279363813
1091.0,56.722384378178944,89.71302046421617
1092.0,36.751986497242335,90.17781469735124
1093.0,8.249064416525384,90.60915102419725
1094.0,-16.480676699148937,90.89467841322615
1095.0,-28.166921503537345,91.09957712019981
1096.0,-24.637484447613197,91.88924221284083
1097.0,-10.931653846316548,93.99089611362614
1098.0,4.298025879070691,97.11528342445857
1099.0,13.824802321960794,99.99823113528186
